getInstallerPackageName,newselect,mprotect,getPackageInfo,create_folder,getReceiverInfo,mkdir,pwrite64,getSearchableInfo,pread64,unlink,munmap,statfs64,getActivityInfo,fdatasync,fs_pipe_access,fs_access(read),fs_pipe_access(write),fs_access,mmap2,fs_access(),pipe,fcntl64,fs_access(create__write),nanosleep,getApplicationInfo,fs_access(create__read__write),rename,access,chmod,gettid,fs_access(create),brk,device_access,queryIntentServices,network_access,stat64,fs_access(write),open,lstat64,Class
0,0,66,1,3,0,3,0,0,38,0,42,0,0,0,2,8,0,3,72,0,2,6,3,3,0,0,0,6,3,23,3,24,2,0,0,20,6,25,4,3
0,0,55,1,3,0,3,0,0,24,3,28,0,0,0,1,8,0,3,58,3,2,5,6,8,0,0,3,12,6,23,3,22,2,0,0,25,6,28,7,3
0,0,157,1,3,0,3,0,0,16,0,27,0,0,0,1,16,0,8,83,0,2,8,3,3,0,0,0,10,3,28,3,32,2,0,0,20,6,38,4,3
0,28,470,5,3,0,5,18,0,51,8,175,0,1,20,8,775,0,59,393,4,19,300,27,32,6,6,6,178,8,303,9,311,12,0,11,113,8,897,125,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,34,1,2,0,2,0,0,1,0,2,0,0,0,2,8,0,3,32,0,2,5,2,0,0,0,0,3,1,21,2,11,2,0,0,11,6,23,3,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,153,1,3,0,3,0,0,16,0,27,0,0,0,1,16,0,8,83,0,2,8,3,3,0,0,0,10,3,28,3,32,2,0,0,20,6,38,4,3
0,0,189,3,3,0,3,0,0,18,0,40,0,0,0,1,25,0,21,114,0,2,10,2,5,2,0,0,11,2,32,3,66,2,0,0,27,6,59,7,1
0,0,150,1,3,0,3,0,0,1,0,6,0,0,0,1,35,0,10,42,0,2,41,3,4,0,0,0,6,3,28,3,24,2,0,0,33,6,59,4,2
